数据文件：traffic.data
分析周期：10 s


>>>>> 时间段：2018-07-10 02:52:22 --> 2018-07-10 02:52:32
----------------------
UDP数据包个数：	342
UDP数据流量：	9841 bytes
----------------------
TCP连接个数：	37
TCP数据包个数：	1224
TCP数据总流量：	429858 bytes
TCP数据上传量：	80035 bytes
TCP数据下载量：	349823 bytes
-----------------------
10.164.1.138	55054	==>	111.48.60.48	443	上传包数量：20	下载包数量：25	upload：2150 bytes	download：12344 bytes	
10.164.1.138	55058	==>	111.48.60.48	443	上传包数量：7	下载包数量：6	upload：160 bytes	download：192 bytes	
10.164.1.138	55032	==>	111.48.60.48	443	上传包数量：35	下载包数量：34	upload：2470 bytes	download：19495 bytes	
10.164.1.138	35284	==>	222.199.191.48	443	上传包数量：5	下载包数量：4	upload：120 bytes	download：128 bytes	
10.164.1.138	35288	==>	222.199.191.48	443	上传包数量：6	下载包数量：5	upload：140 bytes	download：160 bytes	
10.164.1.138	39212	==>	222.199.191.49	443	上传包数量：5	下载包数量：0	upload：100 bytes	download：0 bytes	
10.164.1.138	56176	==>	140.143.49.61	443	上传包数量：55	下载包数量：42	upload：42377 bytes	download：2944 bytes	
10.164.1.138	45478	==>	222.199.191.34	443	上传包数量：3	下载包数量：0	upload：60 bytes	download：0 bytes	
10.164.1.138	56848	==>	117.122.217.19	443	上传包数量：11	下载包数量：10	upload：3187 bytes	download：4127 bytes	
10.164.1.138	56770	==>	117.122.217.19	443	上传包数量：4	下载包数量：0	upload：80 bytes	download：0 bytes	
10.164.1.138	56850	==>	117.122.217.19	443	上传包数量：11	下载包数量：10	upload：3205 bytes	download：4120 bytes	
10.164.1.138	53846	==>	112.34.111.26	443	上传包数量：8	下载包数量：1	upload：2288 bytes	download：40 bytes	
10.164.1.138	53502	==>	23.15.155.27	80	上传包数量：7	下载包数量：5	upload：630 bytes	download：1942 bytes	
10.164.1.138	53508	==>	23.15.155.27	80	上传包数量：5	下载包数量：1	upload：168 bytes	download：40 bytes	
10.164.1.138	53506	==>	23.15.155.27	80	上传包数量：5	下载包数量：1	upload：168 bytes	download：40 bytes	
10.164.1.138	53848	==>	112.34.111.26	443	上传包数量：17	下载包数量：12	upload：3644 bytes	download：1432 bytes	
10.164.1.138	53500	==>	23.15.155.27	80	上传包数量：8	下载包数量：7	upload：1156 bytes	download：3780 bytes	
10.164.1.138	50296	==>	121.194.7.6	443	上传包数量：6	下载包数量：2	upload：350 bytes	download：86 bytes	
10.164.1.138	56576	==>	61.135.248.12	443	上传包数量：16	下载包数量：16	upload：2219 bytes	download：11428 bytes	
10.164.1.138	55004	==>	58.27.86.10	80	上传包数量：7	下载包数量：2	upload：2000 bytes	download：460 bytes	
10.164.1.138	47444	==>	221.181.72.244	443	上传包数量：3	下载包数量：0	upload：60 bytes	download：0 bytes	
10.164.1.138	47442	==>	221.181.72.244	443	上传包数量：4	下载包数量：0	upload：80 bytes	download：0 bytes	
10.164.1.138	41650	==>	47.95.47.253	443	上传包数量：6	下载包数量：0	upload：6768 bytes	download：0 bytes	
10.164.1.138	59858	==>	223.111.101.228	443	上传包数量：6	下载包数量：1	upload：350 bytes	download：66 bytes	
10.164.1.138	52272	==>	183.213.20.235	443	上传包数量：6	下载包数量：2	upload：350 bytes	download：86 bytes	
10.164.1.138	32952	==>	101.201.173.208	443	上传包数量：15	下载包数量：12	upload：5707 bytes	download：4936 bytes	
10.164.1.138	47396	==>	61.54.85.217	443	上传包数量：12	下载包数量：8	upload：934 bytes	download：4586 bytes	
10.164.1.138	34388	==>	183.232.231.200	443	上传包数量：18	下载包数量：18	upload：5688 bytes	download：1800 bytes	
10.164.1.138	34430	==>	183.232.231.200	443	上传包数量：10	下载包数量：6	upload：831 bytes	download：287 bytes	
183.232.231.200	443	==>	10.164.1.138	34386	上传包数量：18	下载包数量：18	upload：1782 bytes	download：5279 bytes	
10.164.1.138	34450	==>	183.232.231.200	443	上传包数量：10	下载包数量：6	upload：819 bytes	download：287 bytes	
10.164.1.138	59418	==>	111.13.101.191	443	上传包数量：7	下载包数量：0	upload：6646 bytes	download：0 bytes	
10.164.1.138	59434	==>	111.13.101.191	443	上传包数量：5	下载包数量：4	upload：131 bytes	download：111 bytes	
10.164.1.138	60830	==>	123.206.5.173	443	上传包数量：7	下载包数量：1	upload：416 bytes	download：66 bytes	
